Date,Store,Bike Type,Sales,Profit
03/01/2020,Brixton,Gravel,16.448,5.5512
04/01/2020,Westminster,Mountain,3.54,-5.487
04/01/2020,Whitechapel,Mountain,11.784,4.2717
04/01/2020,Peckham,Mountain,272.736,-64.7748
05/01/2020,Chelsea,Gravel,19.536,4.884
06/01/2020,Chelsea,Road,12.78,5.2398
06/01/2020,Chelsea,Mountain,5.48,1.4796
06/01/2020,Westminster,Mountain,609.98,274.491
06/01/2020,Notting Hill,Mountain,2573.82,746.4078
06/01/2020,Mayfair,Mountain,31.12,0.3112
06/01/2020,Brixton,Gravel,19.44,9.3312
06/01/2020,Brixton,Mountain,6.54,3.0084
06/01/2020,Richmond,Mountain,1147.94,317.7834
07/01/2020,Westminster,Gravel,10.43,-18.2525
07/01/2020,Fulham,Gravel,76.728,-53.7096
09/01/2020,Wimbledon,Gravel,31.2,9.75
09/01/2020,Chelsea,Gravel,9.344,1.168
10/01/2020,Fulham,Road,51.94,21.2954
10/01/2020,Whitechapel,Road,2.89,1.3583
11/01/2020,Fulham,Gravel,9.94,3.0814
13/01/2020,Wimbledon,Road,646.74,258.696
13/01/2020,Chelsea,Gravel,19.9,6.567
13/01/2020,Westminster,Gravel,3.438,-2.5212
13/01/2020,Westminster,Road,5.64,2.7072
13/01/2020,Shoreditch,Gravel,333.999,3.9294
13/01/2020,Notting Hill,Gravel,545.94,87.3504
13/01/2020,Soho,Road,62.3,30.8092
13/01/2020,Brixton,Gravel,37.408,13.0928
13/01/2020,Peckham,Gravel,1325.85,238.653
13/01/2020,Peckham,Road,572.58,34.3548
14/01/2020,Shoreditch,Road,61.96,-53.2856
15/01/2020,Wimbledon,Gravel,149.95,65.978
16/01/2020,Westminster,Gravel,18.588,-13.6312
16/01/2020,Fulham,Gravel,127.104,28.5984
16/01/2020,Whitechapel,Gravel,30.072,10.1493
16/01/2020,Richmond,Gravel,124.2,-31.05
18/01/2020,Dulwich,Road,64.864,6.4864
19/01/2020,Westminster,Gravel,32.34,-23.716
19/01/2020,Shoreditch,Gravel,181.47,-320.597
19/01/2020,Soho,Gravel,108.72,36.693
19/01/2020,Brixton,Gravel,56.064,19.6224
20/01/2020,Dulwich,Gravel,247.716,93.5816
20/01/2020,Chelsea,Gravel,73.51,21.1853
20/01/2020,Westminster,Gravel,48.75,22.3185
20/01/2020,Westminster,Road,67.194,-51.5154
20/01/2020,Notting Hill,Gravel,1067.94,224.2674
20/01/2020,Soho,Gravel,23.34,10.9698
20/01/2020,Fulham,Gravel,345.57,52.2543
20/01/2020,Brixton,Gravel,19.36,9.2928
20/01/2020,Richmond,Gravel,699.93,181.9818
20/01/2020,Peckham,Gravel,80.56,20.0334
21/01/2020,Fulham,Gravel,25.248,4.1028
21/01/2020,Fulham,Road,65.18,27.43
21/01/2020,Brixton,Road,6.48,3.11
21/01/2020,Richmond,Road,209.5,58.66
23/01/2020,Mayfair,Gravel,5.94,0
23/01/2020,Brixton,Gravel,40.08,19.2384
26/01/2020,Westminster,Road,10.68,5.0196
26/01/2020,Shoreditch,Road,141.96,39.7488
26/01/2020,Fulham,Mountain,75.24,35.253
26/01/2020,Brixton,Mountain,36.12,17.6712
26/01/2020,Richmond,Mountain,343.33,52.6344
26/01/2020,Peckham,Mountain,489.92,0
27/01/2020,Chelsea,Gravel,36.44,12.0252
27/01/2020,Peckham,Gravel,57.23,14.3075
27/01/2020,Tottenham,Gravel,333,-16.65
28/01/2020,Westminster,Gravel,3.928,1.3257
30/01/2020,Brixton,Gravel,10.56,4.752
30/01/2020,Peckham,Gravel,229.94,6.8982
31/01/2020,Shoreditch,Gravel,290.666,3.4196
01/02/2020,Wimbledon,Gravel,468.9,206.316
02/02/2020,Westminster,Gravel,18.336,-12.224
02/02/2020,Mayfair,Mountain,12.35,5.8045
02/02/2020,Richmond,Gravel,180.96,13.572
03/02/2020,Westminster,Gravel,97.112,31.5614
04/02/2020,Westminster,Road,17.248,6.0368
04/02/2020,Westminster,Mountain,82.896,29.0136
04/02/2020,Brixton,Mountain,34.24,16.0928
06/02/2020,Westminster,Gravel,8.952,-14.7708
06/02/2020,Whitechapel,Road,15,7.2
06/02/2020,Richmond,Road,306.56,84.0541
07/02/2020,Wimbledon,Road,115.36,49.6048
07/02/2020,Peckham,Road,64.96,9.744
08/02/2020,Fulham,Mountain,14.56,5.5328
11/02/2020,Wimbledon,Gravel,234.45,103.158
11/02/2020,Westminster,Gravel,79,37.0336
11/02/2020,Notting Hill,Gravel,60.89,15.2225
11/02/2020,Fulham,Gravel,332.94,53.2704
11/02/2020,Whitechapel,Gravel,14.94,6.8724
11/02/2020,Peckham,Gravel,64.96,2.5984
11/02/2020,Tottenham,Gravel,1256.22,75.3732
12/02/2020,Notting Hill,Gravel,129.568,-24.294
14/02/2020,Wimbledon,Road,239.97,86.3892
14/02/2020,Dulwich,Road,81.96,22.9488
14/02/2020,Brixton,Gravel,16.176,6.066
14/02/2020,Croydon,Road,238.62,4.7724
15/02/2020,Westminster,Road,21.36,7.209
16/02/2020,Dulwich,Gravel,7.96,-13.93
16/02/2020,Westminster,Gravel,1.08,-1.728
17/02/2020,Chelsea,Gravel,54.208,8.8088
18/02/2020,Fulham,Gravel,25.16,-11.322
18/02/2020,Peckham,Gravel,12.624,-2.5248
20/02/2020,Wimbledon,Road,62.31,22.4316
20/02/2020,Fulham,Road,20.32,6.9088
20/02/2020,Brixton,Mountain,12.96,6.2208
21/02/2020,Westminster,Gravel,8.85,-13.7175
22/02/2020,Brixton,Gravel,19.44,9.3312
23/02/2020,Westminster,Mountain,4.428,-6.8634
23/02/2020,Whitechapel,Mountain,6.936,2.3409
24/02/2020,Brixton,Gravel,55.672,18.7893
27/02/2020,Chelsea,Gravel,19.456,3.4048
01/03/2020,Notting Hill,Gravel,819.818,51.4764
01/03/2020,Notting Hill,Mountain,634.116,-172.1172
01/03/2020,Mayfair,Gravel,18.84,-3.5325
01/03/2020,Fulham,Gravel,63.552,-34.9536
01/03/2020,Brixton,Mountain,17.472,5.6784
01/03/2020,Richmond,Mountain,5.94,1.6038
01/03/2020,Peckham,Gravel,266.904,-14.0871
01/03/2020,Tottenham,Gravel,376.509,-43.0296
02/03/2020,Wimbledon,Road,151.2,32.13
02/03/2020,Soho,Mountain,11.36,5.3392
02/03/2020,Brixton,Road,3.424,1.07
02/03/2020,Brixton,Mountain,36.4,17.472
03/03/2020,Dulwich,Gravel,176.772,-459.6072
03/03/2020,Chelsea,Gravel,19.456,3.4048
03/03/2020,Westminster,Mountain,151.08,50.0505
03/03/2020,Shoreditch,Road,302.45,-199.617
03/03/2020,Whitechapel,Road,15.12,4.914
03/03/2020,Richmond,Mountain,9.99,4.5954
03/03/2020,Peckham,Road,44.672,-10.0512
03/03/2020,Tottenham,Gravel,626.352,-23.4882
04/03/2020,Chelsea,Gravel,15.552,2.3328
04/03/2020,Peckham,Gravel,354.9,17.745
05/03/2020,Wimbledon,Gravel,479.97,177.5889
05/03/2020,Chelsea,Gravel,59.52,15.4752
05/03/2020,Westminster,Gravel,49.632,16.7508
05/03/2020,Brixton,Gravel,97.82,45.9754
05/03/2020,Croydon,Gravel,18.62,5.3998
07/03/2020,Chelsea,Gravel,17.94,4.6644
07/03/2020,Chelsea,Road,20.65,9.499
07/03/2020,Westminster,Mountain,107.648,33.64
07/03/2020,Notting Hill,Gravel,48.712,5.4801
07/03/2020,Notting Hill,Road,918.272,76.0116
07/03/2020,Peckham,Gravel,242.94,4.8588
07/03/2020,Peckham,Road,204.9,0
10/03/2020,Chelsea,Gravel,83.168,9.3564
10/03/2020,Brixton,Gravel,22.38,10.7424
10/03/2020,Peckham,Gravel,636.408,-15.9102
11/03/2020,Wimbledon,Road,32.96,14.1728
11/03/2020,Dulwich,Road,146.76,38.1576
11/03/2020,Chelsea,Gravel,7.98,2.0748
11/03/2020,Mayfair,Gravel,10.464,1.7004
11/03/2020,Fulham,Gravel,8.32,2.288
11/03/2020,Brixton,Gravel,108.92,49.014
11/03/2020,Brixton,Road,14.94,7.0218
11/03/2020,Richmond,Road,587.97,164.6316
13/03/2020,Notting Hill,Mountain,915.14,102.95
13/03/2020,Fulham,Mountain,327.76,91.77
14/03/2020,Wimbledon,Gravel,82.8,6.624
14/03/2020,Chelsea,Road,3.38,1.2506
14/03/2020,Westminster,Gravel,95.136,31.3328
14/03/2020,Notting Hill,Mountain,1139.92,284.98
14/03/2020,Stratford,Mountain,574.91,156.047
14/03/2020,Brixton,Road,10.56,4.752
14/03/2020,Brixton,Mountain,99.504,34.5096
14/03/2020,Peckham,Gravel,102.34,9.0064
15/03/2020,Westminster,Gravel,50.406,-37.205
15/03/2020,Fulham,Gravel,45.696,5.1408
15/03/2020,Brixton,Gravel,131.904,47.8152
15/03/2020,Peckham,Gravel,142.776,17.847
16/03/2020,Richmond,Mountain,471.92,29.495
17/03/2020,Dulwich,Gravel,93.78,36.5742
17/03/2020,Dulwich,Road,32.67,8.4942
17/03/2020,Chelsea,Gravel,24.128,6.0408
17/03/2020,Westminster,Gravel,89.28,42.3204
17/03/2020,Westminster,Road,41.87,20.2877
17/03/2020,Brixton,Gravel,67.916,30.9124
17/03/2020,Brixton,Road,345.484,147.537
17/03/2020,Tottenham,Road,3265.23,-1124.0239
18/03/2020,Chelsea,Mountain,8.016,1.002
18/03/2020,Shoreditch,Mountain,1198.33,70.49
18/03/2020,Mayfair,Mountain,18.936,5.9175
18/03/2020,Fulham,Mountain,264.12,37.8006
18/03/2020,Stratford,Mountain,24739.748,-1411.5148
18/03/2020,Brixton,Mountain,21.376,7.4816
18/03/2020,Peckham,Mountain,1856.19,334.1142
19/03/2020,Wimbledon,Road,170.24,53.2
19/03/2020,Westminster,Road,33.57,-25.737
19/03/2020,Fulham,Road,25.008,6.8772
19/03/2020,Whitechapel,Road,11.808,3.9852
19/03/2020,Richmond,Road,323.976,28.3479
19/03/2020,Peckham,Road,26.16,1.962
21/03/2020,Chelsea,Gravel,13.456,2.7914
21/03/2020,Chelsea,Road,9.32,2.7028
21/03/2020,Westminster,Road,122.94,59.0112
21/03/2020,Notting Hill,Gravel,218.376,-10.9188
21/03/2020,Fulham,Gravel,32.952,6.5904
21/03/2020,Whitechapel,Gravel,59.2,22.2
21/03/2020,Whitechapel,Road,14.4,6.624
21/03/2020,Brixton,Road,122.97,60.2553
21/03/2020,Richmond,Road,3499.93,909.9818
21/03/2020,Peckham,Road,16.272,-3.8646
22/03/2020,Chelsea,Gravel,16.28,6.512
22/03/2020,Westminster,Gravel,59.109,-45.3169
22/03/2020,Notting Hill,Road,314.352,-35.3646
22/03/2020,Brixton,Road,74.352,23.235
23/03/2020,Whitechapel,Gravel,9.912,3.2214
23/03/2020,Richmond,Gravel,604.752,37.797
23/03/2020,Peckham,Gravel,330.4,85.904
24/03/2020,Fulham,Gravel,40.48,14.5728
24/03/2020,Brixton,Gravel,24.9,11.703
25/03/2020,Wimbledon,Gravel,45.48,15.918
25/03/2020,Chelsea,Gravel,46.88,15.544
25/03/2020,Notting Hill,Gravel,366.786,65.2064
26/03/2020,Wimbledon,Road,66.3,8.619
26/03/2020,Chelsea,Road,3.36,0.84
26/03/2020,Westminster,Road,27.936,9.4284
26/03/2020,Whitechapel,Gravel,18.75,9
26/03/2020,Richmond,Road,28.784,2.8784
28/03/2020,Soho,Gravel,6.12,2.8764
28/03/2020,Richmond,Mountain,302.376,22.6782
28/03/2020,Tottenham,Gravel,1184.72,106.6248
28/03/2020,Tottenham,Mountain,330.588,-143.2548
29/03/2020,Tottenham,Gravel,890.841,-152.7156
30/03/2020,Chelsea,Gravel,49.65,20.853
30/03/2020,Chelsea,Road,10.5,2.94
30/03/2020,Shoreditch,Gravel,205.666,-12.098
30/03/2020,Notting Hill,Mountain,127.302,-9.093
30/03/2020,Soho,Mountain,335.72,113.3055
30/03/2020,Whitechapel,Road,44.4,22.2
30/03/2020,Richmond,Mountain,251.944,88.1804
30/03/2020,Peckham,Gravel,129.3,6.465
30/03/2020,Peckham,Road,15.84,0
31/03/2020,Wimbledon,Gravel,79.984,13.9972
